N,Tiempo
1,0.000106793
2,0.000934293
3,0.00150892
4,0.00159856
5,0.00257817
6,0.00282699
7,0.00443166
8,0.00507242
9,0.00889533
10,0.0102852
11,0.0197011
12,0.0227615
13,0.0433943
14,0.0458201
15,0.0966318
16,0.100663
17,0.213157
18,0.224696
19,0.492625
20,0.490756
21,1.0072
22,1.04835
23,2.13773
24,2.30028
25,4.58132
26,4.73677
27,9.63075
28,10.0845
29,20.3693
30,21.2732
