Algo,N,W,Tiempo
FB,1,150,0.000184276
FB,2,150,0.000383765
FB,3,150,0.00108156
FB,4,150,0.00298974
FB,5,150,0.00609793
FB,6,150,0.0169812
FB,7,150,0.0522832
FB,8,150,0.0987857
FB,9,150,0.212995
FB,10,150,0.44504
FB,11,150,1.09929
FB,12,150,2.17852
FB,13,150,4.27592
FB,14,150,8.31532
FB,15,150,21.6432
FB,16,150,43.1439
FB,17,150,78.4394
FB,18,150,166.531
FB,19,150,322.969
FB,20,150,658.326
FB,21,150,1313.55
FB,22,150,2415.54
FB,23,150,5003.35
FB,24,150,9996.58
FB,25,150,18938
FB,26,150,38761.9
FB,27,150,80421
FB,28,150,160868
