Algo,N,W,Tiempo
FB,1,1000,0.000191759
MitM,1,1000,0.000100184
BT,1,1000,0.000178496
PD,1,1000,0.0617836
FB,2,1000,0.000527441
MitM,2,1000,0.00434603
BT,2,1000,0.000372386
PD,2,1000,0.153765
FB,3,1000,0.00116554
MitM,3,1000,0.00610027
BT,3,1000,0.000821838
PD,3,1000,0.196296
FB,4,1000,0.00254841
MitM,4,1000,0.00569028
BT,4,1000,0.00098646
PD,4,1000,0.259972
FB,5,1000,0.00664135
MitM,5,1000,0.00917565
BT,5,1000,0.00339193
PD,5,1000,0.299325
FB,6,1000,0.0189102
MitM,6,1000,0.00930648
BT,6,1000,0.00381696
PD,6,1000,0.354484
FB,7,1000,0.0445563
MitM,7,1000,0.0147338
BT,7,1000,0.00724862
PD,7,1000,0.41364
FB,8,1000,0.0914763
MitM,8,1000,0.0150162
BT,8,1000,0.0156713
PD,8,1000,0.476325
FB,9,1000,0.208001
MitM,9,1000,0.0313001
BT,9,1000,0.0311662
PD,9,1000,0.528492
FB,10,1000,0.445676
MitM,10,1000,0.0371595
BT,10,1000,0.0622564
PD,10,1000,0.588368
FB,11,1000,0.911853
MitM,11,1000,0.0656662
BT,11,1000,0.222494
PD,11,1000,0.631595
FB,12,1000,2.32449
MitM,12,1000,0.0701549
BT,12,1000,0.245996
PD,12,1000,0.884939
FB,13,1000,4.68159
MitM,13,1000,0.226957
BT,13,1000,0.470425
PD,13,1000,0.889949
FB,14,1000,13.8152
MitM,14,1000,0.275856
BT,14,1000,1.32773
PD,14,1000,1.13257
FB,15,1000,24.5273
MitM,15,1000,0.305284
BT,15,1000,2.36634
PD,15,1000,1.31004
FB,16,1000,56.5074
MitM,16,1000,0.335752
BT,16,1000,4.58897
PD,16,1000,1.2918
FB,17,1000,108.362
MitM,17,1000,0.670016
BT,17,1000,8.75615
PD,17,1000,1.42279
FB,18,1000,213.75
MitM,18,1000,0.933449
BT,18,1000,18.5059
PD,18,1000,1.3016
FB,19,1000,437.05
MitM,19,1000,1.52039
BT,19,1000,29.9945
PD,19,1000,1.48593
FB,20,1000,905.128
MitM,20,1000,1.57044
BT,20,1000,61.1942
PD,20,1000,1.57693
FB,21,1000,1887.7
MitM,21,1000,3.01521
BT,21,1000,124.391
PD,21,1000,1.58714
FB,22,1000,3934.16
MitM,22,1000,3.58775
BT,22,1000,245.112
PD,22,1000,1.74202
FB,23,1000,7951.19
MitM,23,1000,6.66155
BT,23,1000,464.084
PD,23,1000,1.83908
FB,24,1000,16443.4
MitM,24,1000,7.19181
BT,24,1000,962.329
PD,24,1000,1.92436
FB,25,1000,34880.9
MitM,25,1000,14.1622
BT,25,1000,1881.73
PD,25,1000,2.02506
FB,26,1000,71929.9
MitM,26,1000,15.595
BT,26,1000,3569.57
PD,26,1000,2.19755
FB,27,1000,155908
MitM,27,1000,30.0289
BT,27,1000,7308.53
PD,27,1000,2.43505
FB,28,1000,330290
MitM,28,1000,34.2668
BT,28,1000,15809.5
PD,28,1000,2.42592
MitM,29,1000,64.4939
BT,29,1000,31843.5
PD,29,1000,2.67142
MitM,30,1000,70.0758
BT,30,1000,67157.5
PD,30,1000,2.78716
MitM,31,1000,134.538
BT,31,1000,119398
PD,31,1000,2.86053
MitM,32,1000,148.342
BT,32,1000,234022
PD,32,1000,3.04666
MitM,33,1000,277.67
BT,33,1000,520678
PD,33,1000,3.36549
