Algo,N,W,Tiempo
BT,1,1000,0.000178496
BT,2,1000,0.000372386
BT,3,1000,0.000821838
BT,4,1000,0.00098646
BT,5,1000,0.00339193
BT,6,1000,0.00381696
BT,7,1000,0.00724862
BT,8,1000,0.0156713
BT,9,1000,0.0311662
BT,10,1000,0.0622564
BT,11,1000,0.222494
BT,12,1000,0.245996
BT,13,1000,0.470425
BT,14,1000,1.32773
BT,15,1000,2.36634
BT,16,1000,4.58897
BT,17,1000,8.75615
BT,18,1000,18.5059
BT,19,1000,29.9945
BT,20,1000,61.1942
BT,21,1000,124.391
BT,22,1000,245.112
BT,23,1000,464.084
BT,24,1000,962.329
BT,25,1000,1881.73
BT,26,1000,3569.57
BT,27,1000,7308.53
BT,28,1000,15809.5
BT,29,1000,31843.5
BT,30,1000,67157.5
