Algo,N,W,Tiempo
BT,1,150,0.000174044
BT,2,150,0.000272376
BT,3,150,0.000511688
BT,4,150,0.00203442
BT,5,150,0.00198861
BT,6,150,0.00378912
BT,7,150,0.00968116
BT,8,150,0.0161745
BT,9,150,0.0281671
BT,10,150,0.0489033
BT,11,150,0.0833499
BT,12,150,0.158654
BT,13,150,0.298973
BT,14,150,0.461291
BT,15,150,1.25542
BT,16,150,1.79471
BT,17,150,2.09156
BT,18,150,4.18519
BT,19,150,6.61395
BT,20,150,11.4698
BT,21,150,17.1112
BT,22,150,14.8066
BT,23,150,27.9052
BT,24,150,50.8024
BT,25,150,64.9256
BT,26,150,90.9266
BT,27,150,121.936
BT,28,150,249.303
BT,29,150,232.107
BT,30,150,469.735
