Algo,N,W,Tiempo
MitM,1,1000,0.000100184
MitM,2,1000,0.00434603
MitM,3,1000,0.00610027
MitM,4,1000,0.00569028
MitM,5,1000,0.00917565
MitM,6,1000,0.00930648
MitM,7,1000,0.0147338
MitM,8,1000,0.0150162
MitM,9,1000,0.0313001
MitM,10,1000,0.0371595
MitM,11,1000,0.0656662
MitM,12,1000,0.0701549
MitM,13,1000,0.226957
MitM,14,1000,0.275856
MitM,15,1000,0.305284
MitM,16,1000,0.335752
MitM,17,1000,0.670016
MitM,18,1000,0.933449
MitM,19,1000,1.52039
MitM,20,1000,1.57044
MitM,21,1000,3.01521
MitM,22,1000,3.58775
MitM,23,1000,6.66155
MitM,24,1000,7.19181
MitM,25,1000,14.1622
MitM,26,1000,15.595
MitM,27,1000,30.0289
MitM,28,1000,34.2668
MitM,29,1000,64.4939
MitM,30,1000,70.0758
