Algo,N,W,Tiempo
MitM,1,10000,0.000105363
MitM,2,10000,0.00500057
MitM,3,10000,0.00702395
MitM,4,10000,0.00604846
MitM,5,10000,0.00942002
MitM,6,10000,0.00852222
MitM,7,10000,0.0139977
MitM,8,10000,0.0164317
MitM,9,10000,0.032906
MitM,10,10000,0.0373666
MitM,11,10000,0.069347
MitM,12,10000,0.0765343
MitM,13,10000,0.140986
MitM,14,10000,0.15521
MitM,15,10000,0.310454
MitM,16,10000,0.351449
MitM,17,10000,0.790809
MitM,18,10000,0.869666
MitM,19,10000,1.52064
MitM,20,10000,1.56257
MitM,21,10000,3.05386
MitM,22,10000,3.30363
MitM,23,10000,6.51189
MitM,24,10000,7.17698
MitM,25,10000,13.6354
MitM,26,10000,15.0933
MitM,27,10000,29.9409
MitM,28,10000,33.2336
MitM,29,10000,64.7598
MitM,30,10000,76.0959
