Algo,N,W,Tiempo
MitM,1,150,8.86848e-05
MitM,2,150,0.00282281
MitM,3,150,0.00571312
MitM,4,150,0.00649523
MitM,5,150,0.00784132
MitM,6,150,0.0081377
MitM,7,150,0.0186427
MitM,8,150,0.018337
MitM,9,150,0.0310575
MitM,10,150,0.0379062
MitM,11,150,0.0662062
MitM,12,150,0.0839497
MitM,13,150,0.137733
MitM,14,150,0.156984
MitM,15,150,0.283838
MitM,16,150,0.320268
MitM,17,150,0.574289
MitM,18,150,0.655523
MitM,19,150,1.10225
MitM,20,150,1.33292
MitM,21,150,2.56918
MitM,22,150,2.40887
MitM,23,150,4.1205
MitM,24,150,4.87904
MitM,25,150,7.50605
MitM,26,150,7.87193
MitM,27,150,13.405
MitM,28,150,15.4839
MitM,29,150,22.4816
MitM,30,150,32.3982
