Algo,N,W,Tiempo
PD,1,1000,0.0617836
PD,2,1000,0.153765
PD,3,1000,0.196296
PD,4,1000,0.259972
PD,5,1000,0.299325
PD,6,1000,0.354484
PD,7,1000,0.41364
PD,8,1000,0.476325
PD,9,1000,0.528492
PD,10,1000,0.588368
PD,11,1000,0.631595
PD,12,1000,0.884939
PD,13,1000,0.889949
PD,14,1000,1.13257
PD,15,1000,1.31004
PD,16,1000,1.2918
PD,17,1000,1.42279
PD,18,1000,1.3016
PD,19,1000,1.48593
PD,20,1000,1.57693
PD,21,1000,1.58714
PD,22,1000,1.74202
PD,23,1000,1.83908
PD,24,1000,1.92436
PD,25,1000,2.02506
PD,26,1000,2.19755
PD,27,1000,2.43505
PD,28,1000,2.42592
PD,29,1000,2.67142
PD,30,1000,2.78716
