Algo,N,W,Tiempo
FB,1,150,0.000184276
MitM,1,150,8.86848e-05
BT,1,150,0.000174044
PD,1,150,0.0194846
FB,2,150,0.000383765
MitM,2,150,0.00282281
BT,2,150,0.000272376
PD,2,150,0.0263405
FB,3,150,0.00108156
MitM,3,150,0.00571312
BT,3,150,0.000511688
PD,3,150,0.0469142
FB,4,150,0.00298974
MitM,4,150,0.00649523
BT,4,150,0.00203442
PD,4,150,0.0723647
FB,5,150,0.00609793
MitM,5,150,0.00784132
BT,5,150,0.00198861
PD,5,150,0.066552
FB,6,150,0.0169812
MitM,6,150,0.0081377
BT,6,150,0.00378912
PD,6,150,0.088564
FB,7,150,0.0522832
MitM,7,150,0.0186427
BT,7,150,0.00968116
PD,7,150,0.13623
FB,8,150,0.0987857
MitM,8,150,0.018337
BT,8,150,0.0161745
PD,8,150,0.134802
FB,9,150,0.212995
MitM,9,150,0.0310575
BT,9,150,0.0281671
PD,9,150,0.154379
FB,10,150,0.44504
MitM,10,150,0.0379062
BT,10,150,0.0489033
PD,10,150,0.174583
FB,11,150,1.09929
MitM,11,150,0.0662062
BT,11,150,0.0833499
PD,11,150,0.201558
FB,12,150,2.17852
MitM,12,150,0.0839497
BT,12,150,0.158654
PD,12,150,0.326059
FB,13,150,4.27592
MitM,13,150,0.137733
BT,13,150,0.298973
PD,13,150,0.255725
FB,14,150,8.31532
MitM,14,150,0.156984
BT,14,150,0.461291
PD,14,150,0.270897
FB,15,150,21.6432
MitM,15,150,0.283838
BT,15,150,1.25542
PD,15,150,0.421194
FB,16,150,43.1439
MitM,16,150,0.320268
BT,16,150,1.79471
PD,16,150,0.475871
FB,17,150,78.4394
MitM,17,150,0.574289
BT,17,150,2.09156
PD,17,150,0.388304
FB,18,150,166.531
MitM,18,150,0.655523
BT,18,150,4.18519
PD,18,150,0.543024
FB,19,150,322.969
MitM,19,150,1.10225
BT,19,150,6.61395
PD,19,150,0.518785
FB,20,150,658.326
MitM,20,150,1.33292
BT,20,150,11.4698
PD,20,150,0.672584
FB,21,150,1313.55
MitM,21,150,2.56918
BT,21,150,17.1112
PD,21,150,0.497286
FB,22,150,2415.54
MitM,22,150,2.40887
BT,22,150,14.8066
PD,22,150,0.496574
FB,23,150,5003.35
MitM,23,150,4.1205
BT,23,150,27.9052
PD,23,150,0.530365
FB,24,150,9996.58
MitM,24,150,4.87904
BT,24,150,50.8024
PD,24,150,0.566124
FB,25,150,18938
MitM,25,150,7.50605
BT,25,150,64.9256
PD,25,150,0.583126
FB,26,150,38761.9
MitM,26,150,7.87193
BT,26,150,90.9266
PD,26,150,0.618191
FB,27,150,80421
MitM,27,150,13.405
BT,27,150,121.936
PD,27,150,0.64975
FB,28,150,160868
MitM,28,150,15.4839
BT,28,150,249.303
PD,28,150,0.675141
MitM,29,150,22.4816
BT,29,150,232.107
PD,29,150,0.732147
MitM,30,150,32.3982
BT,30,150,469.735
PD,30,150,0.732546
MitM,31,150,45.0128
BT,31,150,644.299
PD,31,150,0.771189
MitM,32,150,56.6385
BT,32,150,923.394
PD,32,150,0.789897
MitM,33,150,94.6346
BT,33,150,1077.55
PD,33,150,0.874589
MitM,34,150,106.914
BT,34,150,2243.67
PD,34,150,0.854855
MitM,35,150,159.904
BT,35,150,2060.95
PD,35,150,0.890029
MitM,36,150,190.74
BT,36,150,2420.06
PD,36,150,0.892359
MitM,37,150,296.424
BT,37,150,3831.2
PD,37,150,0.955566
MitM,38,150,367.849
BT,38,150,6421.1
PD,38,150,0.968412
MitM,39,150,513.406
BT,39,150,5300.17
PD,39,150,0.991187
MitM,40,150,638.019
BT,40,150,7627.2
PD,40,150,1.00558
MitM,41,150,996.805
BT,41,150,10359.9
PD,41,150,1.04113
MitM,42,150,1294.44
BT,42,150,21698
PD,42,150,1.08738
MitM,43,150,1862.55
BT,43,150,20500.7
PD,43,150,1.08937
MitM,44,150,2373.79
BT,44,150,31264.4
PD,44,150,1.11708
MitM,45,150,3717.87
BT,45,150,52189.3
PD,45,150,1.15285
MitM,46,150,4758.57
BT,46,150,83819
PD,46,150,1.18667
