Algo,N,W,Tiempo
PD,1,10000,0.524671
PD,2,10000,1.16706
PD,3,10000,1.52471
PD,4,10000,2.01647
PD,5,10000,2.44627
PD,6,10000,2.94717
PD,7,10000,3.43009
PD,8,10000,3.90508
PD,9,10000,4.39613
PD,10,10000,4.95976
PD,11,10000,5.98427
PD,12,10000,6.3903
PD,13,10000,8.43425
PD,14,10000,7.5515
PD,15,10000,8.61457
PD,16,10000,10.6513
PD,17,10000,9.90894
PD,18,10000,9.75863
PD,19,10000,10.9512
PD,20,10000,10.1888
PD,21,10000,10.6945
PD,22,10000,10.9677
PD,23,10000,11.7084
PD,24,10000,12.1272
PD,25,10000,12.6766
PD,26,10000,13.2995
PD,27,10000,15.1071
PD,28,10000,15.1147
PD,29,10000,15.6183
PD,30,10000,17.2378
