N,Tiempo
1,5.08458e-05
2,9.26106e-05
3,0.000166737
4,0.000318096
5,0.000587393
6,0.00116044
7,0.0023073
8,0.00448977
9,0.00898205
10,0.01775
11,0.0358067
12,0.0748238
13,0.142237
14,0.273442
15,0.593152
16,1.09971
17,2.11104
18,4.62598
19,9.5173
20,18.2818
21,36.4679
22,78.5076
23,155.52
24,292.872
25,573.416
26,1155.74
27,2362.18
28,4403.67
29,9160.34
30,20562.5
