N,Tiempo
1,0.000148379
2,0.000296289
3,0.00125633
4,0.0019209
5,0.00238079
6,0.0061878
7,0.00885606
8,0.0174558
9,0.03513
10,0.0700191
11,0.134941
12,0.279033
13,0.555851
14,1.1104
15,2.19993
16,4.42719
17,8.9953
18,17.6425
19,35.4171
20,71.3432
21,170.135
22,412.169
23,662.143
24,1373.27
25,2429.8
26,4541.62
27,9102.33
28,18190.3
29,36310.8
30,72665.9
