N,Tiempo
1,0.000101928
2,9.97045e-05
3,0.000177346
4,0.000326603
5,0.000600439
6,0.00116729
7,0.00221978
8,0.00451123
9,0.00880572
10,0.0174201
11,0.0356237
12,0.0666259
13,0.1419
14,0.266853
15,0.517448
16,0.977182
17,2.3054
18,4.41978
19,8.84029
20,16.6481
21,32.1554
22,69.6621
23,152.601
24,274.366
25,586.826
26,1227.28
27,2164.33
28,4862.49
29,9218.82
30,17612.3
