N,Tiempo
1,9.85223e-05
2,0.000108926
3,0.000182818
4,0.000343074
5,0.000631623
6,0.00118282
7,0.00231462
8,0.00462242
9,0.00917119
10,0.0181603
11,0.0344102
12,0.0728283
13,0.146811
14,0.281464
15,0.558082
16,1.14846
17,2.54437
18,4.57482
19,9.87005
20,17.9383
21,36.7761
22,78.6228
23,148.642
24,285.889
25,551.742
26,1226.23
27,2279.32
28,4672.4
29,9064.92
30,19539.2
