N,Tiempo
1,8.68398e-05
2,9.69019e-05
3,0.0001673
4,0.000304427
5,0.000591371
6,0.00114826
7,0.00225887
8,0.00450544
9,0.00884201
10,0.0173186
11,0.0335605
12,0.066979
13,0.127489
14,0.273499
15,0.54539
16,1.08588
17,2.0318
18,4.21979
19,8.45058
20,15.9056
21,30.5024
22,65.7054
23,141.131
24,252.459
25,580.077
26,1105.42
27,2119.23
28,4650.36
29,8587.94
30,17021.8
