N,Tiempo
1,9.62839e-05
2,0.000101486
3,0.000175333
4,0.000330674
5,0.000648491
6,0.00124789
7,0.00246428
8,0.00491072
9,0.00974348
10,0.0192958
11,0.0420876
12,0.0747833
13,0.141236
14,0.306198
15,0.60564
16,1.23724
17,2.47877
18,5.02419
19,9.44854
20,18.7229
21,37.1364
22,77.4232
23,151.58
24,326.865
25,675.061
26,1238.36
27,2440.02
28,5227.93
29,10322.5
30,19792.7
