N,Tiempo
1,9.58497e-05
2,9.73597e-05
3,0.000165958
4,0.000307698
5,0.000565547
6,0.00110803
7,0.00211543
8,0.00432429
9,0.00854871
10,0.0165768
11,0.0355039
12,0.0743217
13,0.136818
14,0.253909
15,0.508853
16,0.960582
17,2.09251
18,4.33187
19,9.16609
20,17.0456
21,34.3601
22,67.1255
23,126.725
24,274.52
25,515.997
26,1047.7
27,2169.5
28,4473.26
29,9078.9
30,16536.8
