N,Tiempo
1,0.0020076
2,0.0008802
3,0.0029698
4,0.0016144
5,0.0041248
6,0.01074
7,0.029331
8,0.0726098
9,0.166365
10,0.371864
11,0.488579
12,0.904831
13,1.89465
14,4.07833
15,8.56698
16,18.2009
17,37.1391
18,78.1594
19,163.563
20,342.84
21,719.65
22,1509.67
23,3152.92
24,6530.62
25,13582.9
26,28384.7
27,60267
28,123950
29,254938
30,528118
